sample_id,HALLMARK_GLYCOLYSIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,delta,label,HK2
160f9fb3-e1e0-4f32-ab86-9555e838a0a0,0.9068806509078546,1.2396876077667205,-0.33280695685886585,Mixed,117.4073
16349fe9-a2c9-4577-8b34-6761dd22ee61,0.8887994752190617,1.225896231580163,-0.33709675636110126,Mixed,184.0055
164a6eaa-7f88-4687-a7e1-b907c468766e,0.8385886467572129,1.2274639948010513,-0.3888753480438384,Mixed,10.867
16574f32-3388-42a3-a5ca-9248e75fd522,0.8723227265676989,1.3206396118022818,-0.4483168852345829,Mixed,16.7255
17a7a252-7530-4f12-8cd8-50a049a1e653,0.9203916965369052,1.2357627373255147,-0.31537104078860945,Mixed,42.249
18913801-b38a-4439-8b34-25a7138e8fdd,0.7483546014127214,1.4037292810847357,-0.6553746796720143,Oxidative,2.3239
19062abb-b733-43e2-a9f2-81bca6d65a1e,0.8016744287616138,1.313990400383526,-0.5123159716219123,Oxidative,4.4915
192e08f8-1c39-462a-8762-7e2c7f4d5eb0,0.8400888819159562,1.2969278823413326,-0.4568390004253764,Mixed,85.0852
1a106eaf-ff8d-43eb-8720-8be7ba8d9888,0.8741672064779089,1.2233595864534215,-0.34919237997551256,Mixed,20.3781
1a351079-31b5-4080-a03d-62ea7065d7a8,0.8163261774926596,1.2044910036879688,-0.38816482619530923,Mixed,24.0624
1a9ee264-40bf-4a12-bcee-bd0f989e0798,0.9125631238126319,1.3058171838189088,-0.39325406000627683,Mixed,64.0896
1b242926-e8c1-4f9b-88fa-40211585207e,0.6854037468885371,1.365603895014315,-0.6802001481257779,Oxidative,0.7945
1b70671f-61a5-4a23-ab6b-2120e80d1698,0.8885014585685653,1.3355716806668987,-0.44707022209833336,Mixed,72.2496
1bce44b6-268e-4858-8b49-747045752331,0.8589859262874842,1.2573597005735166,-0.3983737742860325,Mixed,61.044
1bd902eb-9e76-406a-bfe9-b0b5861bcdfb,0.8900368172309566,1.307100648317686,-0.4170638310867293,Mixed,68.6233
1be72033-3da7-4266-9b58-2fff2dbaa48b,0.8820249039216443,1.2537973490869954,-0.371772445165351,Mixed,174.4225
1c38241a-2cdc-4b93-8845-87182a998ef4,0.8675246512957093,1.2654686207404187,-0.39794396944470933,Mixed,36.0652
1c5ca894-35e2-40f0-9d1a-38d25f6d6d78,0.792372683993645,1.3755232661177674,-0.5831505821241224,Oxidative,13.4326
1d4c5088-5f7a-4ac9-8a04-46288af80215,0.9202311723324887,1.253183711991106,-0.33295253965861726,Mixed,14.9377
1e1f9cde-c6e0-4925-944f-12d354ef858e,0.9443421895605045,1.3627174460190885,-0.418375256458584,Mixed,55.7228
1eb01cfb-4b8b-472b-a20b-61239ad14ab6,0.8519026236236766,1.237112923729773,-0.38521030010609647,Mixed,41.7154
1fbf38d0-bc11-4d81-81a3-2a558afa4db5,0.8625865464613336,1.2257066642662224,-0.36312011780488884,Mixed,124.3069
200dfa9f-ed6f-4434-9dde-7833f4d3b275,0.7870412545957707,1.403269697055505,-0.6162284424597343,Oxidative,3.4672
206a4211-c6c8-4f43-be95-1f36289d7bd6,0.8727894011365815,1.2458248526130034,-0.3730354514764218,Mixed,88.2009
213b2ef0-57cb-4fa3-9d56-2bda451006c9,0.7652261320612385,1.4175273602342495,-0.6523012281730111,Oxidative,2.1238
21702617-18af-41b6-98fa-54395bfd0d9a,0.880375552671604,1.3074943248083997,-0.4271187721367957,Mixed,35.8652
24ec3d48-d4c2-4f0c-b188-87ebc1f3123e,0.8915979379487154,1.3028260269823315,-0.4112280890336161,Mixed,34.799
24f33eec-e332-4d33-a628-a366f2a18d52,0.9153743315696753,1.3193199206257986,-0.4039455890561233,Mixed,29.8162
24f43a2c-0df0-464c-a4ef-80be1aa203df,0.7742041185473725,1.359925892615192,-0.5857217740678196,Oxidative,4.0064
255d2ed8-2b59-486a-bfe2-0ba938b9aeb6,0.7320391123267588,1.4259008208534127,-0.693861708526654,Oxidative,2.2258
2562285c-fe56-4011-a9e9-9e17bb78becb,0.783002133012859,1.346467779124762,-0.5634656461119029,Oxidative,6.2116
2670a02b-5a81-45b7-8b6c-f94b21bd2aa1,0.9178895227636703,1.2651350005172337,-0.3472454777535634,Mixed,96.482
2693e892-e285-4d51-b84a-7498437b6956,0.8365943424874132,1.2249606631326744,-0.3883663206452612,Mixed,35.0028
27023402-b661-4cda-98ef-f9b68b3f8c59,0.8342099675050303,1.2254109670799629,-0.3912009995749326,Mixed,54.456
27918218-c6a5-4f1d-b25c-bdf08d4146bd,0.8428785137990074,1.1784211874877848,-0.33554267368877744,Mixed,169.731
298544f7-b010-45cc-a518-619b8e04e4fc,0.9428498927444728,1.1887154744700845,-0.24586558172561168,Mixed,51.6647
2a8ed8a3-37a6-4492-823c-a86f392d0c44,0.8784486001813239,1.2754414310198101,-0.39699283083848624,Mixed,92.985
2a9c1676-cb34-430b-8111-6a28c563065b,0.6439616859401687,1.457966041897352,-0.8140043559571832,Oxidative,1.181
2afa2c24-7bbf-4855-acb8-feaa22dc4c33,0.7207585283766896,1.0366151219175919,-0.31585659354090223,Mixed,47.2027
2b0106c5-7e32-423b-957f-06c9f2e7751b,0.9030088362524764,1.329102450906788,-0.4260936146543115,Mixed,75.6604
